adjustment_set,adjustment_label,tier,hypothesis_id,window,scenario,reference,comparator,contrast,contrast_direction,expected_direction,n_subjects,n_pseudo_rows,p_ref,p_comp,proceed_to_decomposition,interval_method,rd,ci_low,ci_high,rd_ci,within_variance,between_variance,total_variance,rubin_df,m_imputations,interpretation_flag
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1381,9347,0.029577232388586415,0.07148982469485479,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.04191259230626835,-0.014238089796103859,0.09806327440864056,"0.042 (-0.014, 0.098)",8.200340632328231e-4,6.871656927056933e-7,8.207555872101641e-4,24585540.515272293,20,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1381,9347,0.029577232388586415,0.027599421853624906,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-0.001977810534961522,-0.022912274633271563,0.018956653563348518,"-0.002 (-0.023, 0.019)",1.1286871270874631e-4,1.156541883692774e-6,1.1408308168662373e-4,167685.21060353605,20,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1381,9347,0.029577232388586415,0.021066733571036576,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-0.00851049881754983,-0.0494758108441514,0.03245481320905173,"-0.009 (-0.049, 0.032)",4.363686180825723e-4,4.62237221972675e-7,4.368539671656436e-4,15392804.089189546,20,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1381,9347,0.029577232388586415,0.02898048509945483,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-5.967472891316156e-4,-0.03078526986237636,0.029591775284113126,"-0.001 (-0.031, 0.030)",2.359167693119963e-4,1.2591284895807017e-6,2.3723885422605604e-4,611795.8651205184,20,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.03979155670286403,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.02215982049272793,-0.025735998301853934,0.07005563928730979,"0.022 (-0.026, 0.070)",5.943769116001315e-4,2.6598613800971846e-6,5.971697660492335e-4,868665.5911436384,20,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.04259031381017188,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.02495857760003584,-0.011226776889022554,0.06114393208909423,"0.025 (-0.011, 0.061)",3.3949249858099175e-4,1.2968198252815601e-6,3.408541593975374e-4,1190564.466219281,20,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.08397227072301663,Prespecified decomposition; total-effect interval excludes 0,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.06634053451288045,0.005228355359833736,0.12745271366592717,"0.066 (0.005, 0.127)",9.694245130689708e-4,2.6503313064277268e-6,9.722073609407199e-4,2318955.8458575965,20,positive; interval excludes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Low Maternal Absence, Improving SES","Low Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.02396682092578244,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.006335084715646337,-0.014259252157591528,0.0269294215888842,"0.006 (-0.014, 0.027)",1.0995959482787975e-4,4.265657474354483e-7,1.1040748886268697e-4,1154516.4058645722,20,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.019907047448574956,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.002275311238438851,-0.02594249901915064,0.03049312149602834,"0.002 (-0.026, 0.030)",2.0574945949461377e-4,1.4531291653903421e-6,2.0727524511827362e-4,350639.9846767265,20,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1381,9347,0.01763173621013608,0.05675682928228472,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.039125093072148676,-0.014145481139217306,0.09239566728351466,"0.039 (-0.014, 0.092)",7.357499042512296e-4,2.8251388489437893e-6,7.387163000426206e-4,1178286.1485618413,20,positive; interval includes 0
fixed_context,Fixed-context-adjusted decomposition with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1380,9338,0.029919496906761,0.06730004866762111,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.0373805517608601,-0.01717129594539877,0.09193239946711898,"0.037 (-0.017, 0.092)",7.736696018795675e-4,9.628103259713763e-7,7.746805527218374e-4,11156779.0302409,20,positive; interval includes 0
fixed_context,Fixed-context-adjusted decomposition with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1380,9338,0.029919496906761,0.027617600612863783,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-0.0023018962938972072,-0.02264912450667071,0.018045331918876296,"-0.002 (-0.023, 0.018)",1.065105892567078e-4,1.2015338654700243e-6,1.0777219981545132e-4,138648.91205499042,20,negative; interval includes 0
fixed_context,Fixed-context-adjusted decomposition with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1380,9338,0.029919496906761,0.023145500604929387,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-0.006773996301831606,-0.048463051195565224,0.03491505859190201,"-0.007 (-0.048, 0.035)",4.516326943155276e-4,7.557197197973434e-7,4.524262000213148e-4,6176593.030529837,20,negative; interval includes 0
fixed_context,Fixed-context-adjusted decomposition with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,1380,9338,0.029919496906761,0.02813797902985153,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",-0.0017815178769094986,-0.03114194822507896,0.027578912471259962,"-0.002 (-0.031, 0.028)",2.2268620163547724e-4,1.6334520725782278e-6,2.2440132631168437e-4,325246.81258796505,20,negative; interval includes 0
fixed_context,Fixed-context-adjusted decomposition with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,1380,9338,0.01799882132577648,0.035253257087483524,Prespecified decomposition; interpret descriptively,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 300 draws",0.017254435761707026,-0.026191196074738163,0.06070006759815222,"0.017 (-0.026, 0.061)",4.889398805679225e-4,2.2993998500373843e-6,4.913542504104617e-4,786928.7999308057,20,positive; interval includes 0
