"Spec","Window","WindowLabel","Scenario","LatentClass","Class","OriginalDisplay_Label","Harmonized_Family_ID","Display_Label","Adversity_Order","Mapping_Status","Mapping_Basis","NClass","Color_Name","Color_Hex"
"UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted",2,"Class 2","Improving from Low SES","UHSES_EC2","Improving from Low SES",2,"Direct mapping","The unrestricted early-childhood SES branch recovers only the improving and chronic-low families.",791,"improvement-teal-alt","#009E73"
"UHSES","time_0_5","Early childhood (0-5 years)","Unrestricted",1,"Class 1","Chronic Low SES","UHSES_EC4","Chronic Low SES",4,"Direct mapping","The unrestricted early-childhood SES branch recovers only the improving and chronic-low families.",2103,"chronic-adversity-burgundy-alt","#7F0000"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",3,"Class 3","Stable Higher SES","UHSES_EC1","Stable Higher SES",1,"Direct mapping","The >=2-wave SES branch adds a distinct advantaged family but still does not separate the late-improvement family.",134,"stable-gray-alt","#D9D9D9"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",1,"Class 1","Improving from Low SES","UHSES_EC2","Improving from Low SES",2,"Direct mapping","The >=2-wave SES branch adds a distinct advantaged family but still does not separate the late-improvement family.",575,"improvement-teal-alt","#009E73"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",2,"Class 2","Chronic Low SES","UHSES_EC4","Chronic Low SES",4,"Direct mapping","The >=2-wave SES branch adds a distinct advantaged family but still does not separate the late-improvement family.",1445,"chronic-adversity-burgundy-alt","#7F0000"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",3,"Class 3","Stable Higher SES","UHSES_EC1","Stable Higher SES",1,"Anchor branch","The >=3-wave early-childhood SES branch carries the full interpretable four-family set and anchors the mapping.",81,"stable-gray-alt","#D9D9D9"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",2,"Class 2","Improving from Low SES","UHSES_EC2","Improving from Low SES",2,"Anchor branch","The >=3-wave early-childhood SES branch carries the full interpretable four-family set and anchors the mapping.",349,"improvement-teal-alt","#009E73"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",4,"Class 4","Late Improvement from Chronic Low SES","UHSES_EC3","Late Improvement from Chronic Low SES",3,"Anchor branch","The >=3-wave early-childhood SES branch carries the full interpretable four-family set and anchors the mapping.",355,"delayed-improvement-olive-alt","#66A61E"
"UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",1,"Class 1","Chronic Low SES","UHSES_EC4","Chronic Low SES",4,"Anchor branch","The >=3-wave early-childhood SES branch carries the full interpretable four-family set and anchors the mapping.",821,"chronic-adversity-burgundy-alt","#7F0000"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",7,"Class 7","Stable Higher SES","UHSES_ML1","Stable Higher SES",1,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",686,"stable-gray-alt","#D9D9D9"
