"contextual_domain","inventory_support","relation_to_present_analysis","operationalization_in_current_manuscript"
"Food insecurity and material deprivation","Repeated pathways link poverty, crop loss, theft, mine closure, and household financial strain to food stress, worry, and poor mental health.","Provides strong local support for food insecurity as a proximal adolescent pathway domain and for interpreting it as one indicator of broader material deprivation.","Directly operationalized as food insecurity."
"Violence exposure and unsafe environments","Inventory pathways repeatedly connect domestic violence, unsafe community spaces, taverns, crime, and substance-related insecurity to distress and poor mental health.","Provides strong local support for violence exposure as a pathway domain and for interpreting it as part of a wider insecurity ecology.","Directly operationalized as violence exposure."
"Alcohol use and substance-related risk","Inventory pathways connect unsafe school and community environments, peer influence, financial strain, and substance use to emotional distress and poor mental health.","Provides direct contextual support for alcohol use as one observable component of broader substance-related and risk-exposure pathways.","Directly operationalized as alcohol use."
"Sexual debut and broader adolescent risk ecology","Inventory pathways describe truancy, unsafe spaces, peer environments, and adolescent risk behaviours that may cluster around early sexual exposure and emotional strain.","Provides indirect contextual support for sexual debut while indicating that sexual debut captures only one slice of a wider adolescent risk ecology.","Partially operationalized as ever having had sexual intercourse."
"Social protection and government grant conditions","Inventory pathways describe poverty, mine closure, reliance on grants, and the ambivalent social meaning of grant dependence, including stigma and eroded self-esteem.","Provides cautious support for social protection conditions as a pathway domain while indicating that grant-related experiences may be both protective and strained.","Partially operationalized as lack of government grant receipt."
"School climate and educational pathway conditions","Inventory pathways highlight lack of school fencing, physical punishment, unsafe school environments, and early learning opportunities.","Shows that important school-related pathways are locally salient and are only partially captured by the measured school disengagement indicator.","Partially operationalized as school disengagement."
"Family separation and migration-related stress","Inventory pathways connect migration for work and family separation to loneliness, insecurity, stress, and poor mental health.","Shows that migration-linked family separation is locally salient but outside the measured pathway block.","Not directly harmonized in the present manuscript."
"Housing quality and water insecurity","Inventory pathways connect poor housing, water scarcity, hygiene constraints, bullying, and shame to emotional distress.","Shows that housing and water conditions form part of the broader pathway ecology but are not represented in the current analytic dataset.","Not directly harmonized in the present manuscript."
"Social connectedness and community inclusion or exclusion","Inventory pathways describe community cohesion, exclusion from shared resources, low social connectedness, fear of stigma, and reduced help-seeking.","Shows that social-capital and exclusion pathways remain important contextual processes and are only partially captured by the measured low social support indicator.","Partially operationalized as low social support."
"Service access, care barriers, and stigma","Inventory pathways describe long clinic queues, stigmatising treatment, transport barriers, and unmet care needs.","Shows that service-access and clinic-stigma pathways are locally salient but not tested in the present empirical model.","Not directly harmonized in the present manuscript."
"Religion, spirituality, and cultural support or strain","Inventory pathways include church counselling, prayer, rituals, fear of witchcraft, and conflicting belief systems.","Shows that spiritual and cultural resources or stressors shape adolescent mental-health pathways but fall outside the current harmonized variables.","Not directly harmonized in the present manuscript."
"Environmental degradation and climate stress","Inventory pathways link pollution, mine-related land damage, dumping, extreme weather, and erosion to fear, grief, and mental distress.","Shows that environmental and climate-linked pathways are important contextual mechanisms but remain unmeasured in the current analysis.","Not directly harmonized in the present manuscript."
