tier,hypothesis_id,domain,model_family,model_label,window,scenario,reference_history,comparator_histories,expected_total_effect_direction,outcome,contrast_family,analysis_role
Primary,TE-ULWOM-H1-EC,Maternal absence,ULWOM,Univariate lived without mother,0-5 years,Univariate main,Stable Low Maternal Absence,"Early Peak, Declining Maternal Absence; Late-Onset Maternal Absence; Stable High Maternal Absence",higher,Depressive symptoms,lowest-risk-vs-rest,Initial maternal-absence total-effect contrast
Primary,TE-ULWOM-H1-MLC,Maternal absence,ULWOM,Univariate lived without mother,6-12 years,Univariate main,Stable Low Maternal Absence,"Declining Maternal Absence; Late-Onset Maternal Absence; Mid-Childhood Onset Maternal Absence; Stable High Maternal Absence",higher,Depressive symptoms,lowest-risk-vs-rest,Initial maternal-absence total-effect contrast
Secondary,TE-ULWOM-H3-EC,Maternal absence,ULWOM,Univariate lived without mother,0-5 years,Univariate main,Stable High Maternal Absence,"Early Peak, Declining Maternal Absence; Late-Onset Maternal Absence",lower,Depressive symptoms,stable-high-vs-time-limited,Supportive maternal-absence total-effect contrast
Secondary,TE-ULWOM-H3-MLC,Maternal absence,ULWOM,Univariate lived without mother,6-12 years,Univariate main,Stable High Maternal Absence,"Declining Maternal Absence; Late-Onset Maternal Absence; Mid-Childhood Onset Maternal Absence",lower,Depressive symptoms,stable-high-vs-time-limited,Supportive maternal-absence total-effect contrast
Primary,TE-UHSES-H1-EC-U,Socioeconomic status,UHSES,Univariate household socioeconomic status,0-5 years,Unrestricted,Improving from Low SES,Chronic Low SES,higher,Depressive symptoms,lowest-risk-vs-rest,Primary socioeconomic total-effect contrast
Primary,TE-UHSES-H1-EC-R3,Socioeconomic status,UHSES,Univariate household socioeconomic status,0-5 years,Restricted (>=3 waves),Stable Higher SES,"Improving from Low SES; Late Improvement from Chronic Low SES; Chronic Low SES",higher,Depressive symptoms,lowest-risk-vs-rest,Restricted socioeconomic total-effect contrast
Primary,TE-UHSES-H1-MLC-U,Socioeconomic status,UHSES,Univariate household socioeconomic status,6-12 years,Unrestricted,Stable Higher SES,"Minimal Low SES; Early Improvement from Mild Low SES; Improving from High Low SES; Persistent Moderate Low SES; Late Improvement from Chronic Low SES; Chronic Low SES",higher,Depressive symptoms,lowest-risk-vs-rest,Primary socioeconomic total-effect contrast
Primary,TE-UHSES-H1-MLC-R3,Socioeconomic status,UHSES,Univariate household socioeconomic status,6-12 years,Restricted (>=3 waves),Stable Higher SES,"Early Improvement from Mild Low SES; Improving from High Low SES; Persistent Moderate Low SES; Chronic Low SES",higher,Depressive symptoms,lowest-risk-vs-rest,Restricted socioeconomic total-effect contrast
Primary,TE-JMAES-H1-EC,Joint Maternal Absence + Household Socioeconomic Status,JMAES,Stricter restricted Joint Maternal Absence + Household Socioeconomic Status LCGA,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES; Rising Maternal Absence, Improving SES; Rising Maternal Absence, Low SES; High Maternal Absence, Low SES",higher,Depressive symptoms,lowest-risk-vs-rest,Strict joint maternal-absence and socioeconomic total-effect contrast
Primary,TE-JMAES-H1-MLC,Joint Maternal Absence + Household Socioeconomic Status,JMAES,Stricter restricted Joint Maternal Absence + Household Socioeconomic Status LCGA,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Low Maternal Absence, Improving SES; Low Maternal Absence, Low SES; Decreasing Maternal Absence, Low SES; Rising Maternal Absence, Improving SES; High Maternal Absence, Improving SES; High Maternal Absence, Low SES",higher,Depressive symptoms,lowest-risk-vs-rest,Strict joint maternal-absence and socioeconomic total-effect contrast
