adjustment_set,adjustment_label,tier,hypothesis_id,window,scenario,reference,comparator,contrast,contrast_direction,expected_direction,mediator_block_id,mediator_block,mediators_in_block,n_mediators,n_patterns,effect,n_subjects,n_pseudo_rows,interval_method,rd,ci_low,ci_high,rd_ci,within_variance,between_variance,total_variance,rubin_df,m_imputations,percent_mediated,percent_mediated_display,interpretation_flag
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.025162234773289653,-0.023077908753543597,0.0734023783001229,"0.025 (-0.023, 0.073)",6.044827318622355e-4,1.243215329731399e-6,6.057881079584534e-4,4091888.3640501397,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.037727608752085785,-0.017441678744410785,0.09289689624858236,"0.038 (-0.017, 0.093)",7.905923651441753e-4,1.641349040915392e-6,7.923157816371365e-4,4015778.2598910406,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.012565373978796122,-0.002590661758818327,0.027721409716410572,"0.013 (-0.003, 0.028)",5.972423750467554e-5,6.871836198311541e-8,5.979639178475781e-5,13049064.043913446,20,0.33305513904592327,33.3%,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.02604722123954951,-,-,0.026,-,1.2607355836877605e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.0372641735625176,-,-,0.037,-,1.4979254074545632e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.011216952322968085,-,-,0.011,-,4.181073978794143e-8,-,-,20,0.30101170241034747,30.1%,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.004162461950933707,-0.024399610028764236,0.016074686126896824,"-0.004 (-0.024, 0.016)",1.053985376695244e-4,1.1531555443045574e-6,1.066093509910442e-4,147295.61531471793,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.0019854640968253834,-0.022784299208678204,0.018813371015027437,"-0.002 (-0.023, 0.019)",1.1132786359761265e-4,1.22051852469617e-6,1.1260940804854364e-4,146701.8542117199,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.0021769978541083183,-0.0014191206719865635,0.0057731163802032005,"0.002 (-0.001, 0.006)",3.32609970302764e-6,3.8367727943674806e-8,3.3663858173684985e-6,132669.3544148468,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.0021699640579915763,-,-,-0.002,-,1.1473071898254253e-6,-,-,20,-,-,negative; interval unavailable
