tier,hypothesis_id,scope,mediator_group,mediator,expected_indirect_direction,interpretation
Primary,CM-P1,Base mediation model,Core base mediator,Food insecurity,positive,"Adverse childhood transition-history contrasts will show mediator-specific indirect effects through food insecurity, consistent with the strongest combined pathway-screening evidence."
Primary,CM-P2,Base mediation model,Core base mediator,Violence exposure,positive,"Adverse childhood transition-history contrasts will show mediator-specific indirect effects through violence exposure, interpreted as an adversity pathway rather than a generic behavioural pathway."
Primary,CM-P3,Base mediation model,Core base mediator,Ever had sexual intercourse,positive,"Adverse childhood transition-history contrasts will show mediator-specific indirect effects through ever having had sexual intercourse, with interpretation conditioned by developmental timing."
Secondary,CM-S1,Fixed-context-adjusted decomposition,Core base mediator,Food insecurity,positive,"Food-insecurity indirect effects will be comparatively robust after fixed contextual adjustment for age, rural residence, and calendar year."
Secondary,CM-S2,Fixed-context-adjusted decomposition,Core base mediator,Violence exposure,positive,"Violence-exposure indirect effects may attenuate after calendar-year adjustment but should remain directionally coherent if the pathway is robust."
Secondary,CM-S3,Fixed-context-adjusted decomposition,Core base mediator,Ever had sexual intercourse,positive,"Sexual-activity indirect effects are expected to be more age-sensitive than food insecurity and should be interpreted in developmental context."
Secondary,CM-S4,Extension models,Extension mediator,Alcohol use,positive,"Alcohol use may show upstream or age-structured evidence but is not expected to define the base indirect effect."
Secondary,CM-S5,Extension models,Extension mediator,Lack of government grant receipt,positive,"Grant receipt is retained as an extension pathway because screening did not support stable downstream mediation in the base model."
Secondary,CM-S6,Extension models,Extension mediator,Low social support,positive,"Low social support is retained as an extension pathway because screening did not support stable downstream mediation in the base model."
Secondary,CM-S7,Extension models,Extension mediator,School disengagement,positive,"School disengagement is retained as an extension pathway because screening did not support stable downstream mediation in the base model."
