tier,hypothesis_id,scope,mediator_group,mediator,expected_direct_direction,expected_relation_to_total_effect,interpretation
Primary,CM-D1,Base causal mediation model,Core base mediator,Food insecurity,same as total effect,attenuated relative to total effect if food insecurity carries part of the pathway,"For prespecified adverse transition-history contrasts, the direct effect not operating through food insecurity is expected to remain directionally coherent with the total effect but may be smaller if food insecurity mediates part of the association."
Primary,CM-D2,Base causal mediation model,Core base mediator,Violence exposure,same as total effect,attenuated relative to total effect if violence exposure carries part of the pathway,"For prespecified adverse transition-history contrasts, the direct effect not operating through violence exposure is expected to remain directionally coherent with the total effect but may be smaller if violence exposure mediates part of the association."
Primary,CM-D3,Base causal mediation model,Core base mediator,Ever had sexual intercourse,same as total effect,attenuated relative to total effect if sexual activity carries part of the pathway,"For prespecified adverse transition-history contrasts, the direct effect not operating through ever having had sexual intercourse is expected to remain directionally coherent with the total effect but may be smaller if this developmental pathway mediates part of the association."
Secondary,CM-D4,Fixed-context-adjusted decomposition,Core base mediator,Food insecurity,same as total effect,may attenuate after age, rural residence, and calendar-year adjustment,"Food-insecurity direct effects under fixed-context adjustment should be interpreted as context-adjusted residual associations rather than replacements for the base direct-effect estimand."
Secondary,CM-D5,Fixed-context-adjusted decomposition,Core base mediator,Violence exposure,same as total effect,may attenuate after age, rural residence, and calendar-year adjustment,"Violence-exposure direct effects under fixed-context adjustment should be interpreted as context-adjusted residual associations rather than replacements for the base direct-effect estimand."
Secondary,CM-D6,Fixed-context-adjusted decomposition,Core base mediator,Ever had sexual intercourse,same as total effect,expected to be age-sensitive,"Sexual-activity direct effects under fixed-context adjustment are expected to be particularly sensitive to adolescent age and should be interpreted in developmental context."
Secondary,CM-D7,Extension models,Extension mediator,Alcohol use,same as total effect,not used to define the base direct-effect interpretation,"Extension direct effects document residual associations after conditioning on alcohol use but do not define the base causal mediation model."
Secondary,CM-D8,Extension models,Extension mediator,Lack of government grant receipt,same as total effect,not used to define the base direct-effect interpretation,"Extension direct effects document residual associations after conditioning on lack of government grant receipt but do not define the base causal mediation model."
Secondary,CM-D9,Extension models,Extension mediator,Low social support,same as total effect,not used to define the base direct-effect interpretation,"Extension direct effects document residual associations after conditioning on low social support but do not define the base causal mediation model."
Secondary,CM-D10,Extension models,Extension mediator,School disengagement,same as total effect,not used to define the base direct-effect interpretation,"Extension direct effects document residual associations after conditioning on school disengagement but do not define the base causal mediation model."
