"Spec","Window","WindowLabel","Scenario","LatentClass","Class","OriginalClassLabel","NClass","Harmonized_Family_ID","Display_Label","Adversity_Order","Retained_Reference_Class","Mapping_Status","Mapping_Basis","Color_Name","Color_Hex"
"JMAES","time_0_5","Early childhood (0-5 years)","Unrestricted",3,"Class 3","Class 3",516,"JMAES_EC1","Low Maternal Absence, Improving SES",1,"Class 3","Anchor branch","Class from the selected anchor branch for this model-window.","improvement-teal-alt","#009E73"
"JMAES","time_0_5","Early childhood (0-5 years)","Unrestricted",2,"Class 2","Class 2",1351,"JMAES_EC2","Low Maternal Absence, Low SES",2,"Class 2","Anchor branch","Class from the selected anchor branch for this model-window.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_0_5","Early childhood (0-5 years)","Unrestricted",4,"Class 4","Class 4",140,"JMAES_EC3","Rising Maternal Absence, Improving SES",3,"Class 4","Anchor branch","Class from the selected anchor branch for this model-window.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_0_5","Early childhood (0-5 years)","Unrestricted",1,"Class 1","Class 1",261,"JMAES_EC4","Rising Maternal Absence, Low SES",4,"Class 1","Anchor branch","Class from the selected anchor branch for this model-window.","onset-orange-red-alt","#D55E00"
"JMAES","time_0_5","Early childhood (0-5 years)","Unrestricted",5,"Class 5","Class 5",360,"JMAES_EC5","High Maternal Absence, Low SES",5,"Class 5","Anchor branch","Class from the selected anchor branch for this model-window.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",2,"Class 2","Class 2",413,"JMAES_EC1","Low Maternal Absence, Improving SES",1,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal-alt","#009E73"
"JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",1,"Class 1","Class 1",973,"JMAES_EC2","Low Maternal Absence, Low SES",2,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",4,"Class 4","Class 4",123,"JMAES_EC3","Rising Maternal Absence, Improving SES",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",3,"Class 3","Class 3",218,"JMAES_EC4","Rising Maternal Absence, Low SES",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red-alt","#D55E00"
"JMAES","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",5,"Class 5","Class 5",227,"JMAES_EC5","High Maternal Absence, Low SES",5,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JMAES","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",2,"Class 2","Class 2",320,"JMAES_EC1","Low Maternal Absence, Improving SES",1,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal-alt","#009E73"
"JMAES","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",3,"Class 3","Class 3",738,"JMAES_EC2","Low Maternal Absence, Low SES",2,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",5,"Class 5","Class 5",98,"JMAES_EC3","Rising Maternal Absence, Improving SES",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",1,"Class 1","Class 1",186,"JMAES_EC4","Rising Maternal Absence, Low SES",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red-alt","#D55E00"
"JMAES","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",4,"Class 4","Class 4",125,"JMAES_EC5","High Maternal Absence, Low SES",5,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",6,"Class 6","Class 6",638,"JMAES_ML1","Low Maternal Absence, Higher SES",1,"Class 6","Anchor branch","Class from the selected anchor branch for this model-window.","stable-gray-alt","#D9D9D9"
