window,window_label,scenario,class_id,harmonized_family_id,reporting_label,adversity_order,label_status,n_class,trajectory_reading
0-5 years,Early childhood (0-5 years),Stricter restricted (>=3 complete occasions),Class 2,EC1,"Low Maternal Absence, Improving SES",1,Mapped to unrestricted anchor,320,"Low maternal absence with clear movement from low SES toward middle/high SES."
0-5 years,Early childhood (0-5 years),Stricter restricted (>=3 complete occasions),Class 3,EC2,"Low Maternal Absence, Low SES",2,Mapped to unrestricted anchor,738,"Rare maternal absence with persistent low SES despite modest movement toward middle SES."
0-5 years,Early childhood (0-5 years),Stricter restricted (>=3 complete occasions),Class 5,EC3,"Rising Maternal Absence, Improving SES",3,Stricter-branch addition,98,"Maternal absence rises strongly while SES improves out of the low category."
0-5 years,Early childhood (0-5 years),Stricter restricted (>=3 complete occasions),Class 1,EC4,"Rising Maternal Absence, Low SES",4,Mapped to unrestricted anchor,186,"Rising maternal absence with persistently high low-SES probability."
0-5 years,Early childhood (0-5 years),Stricter restricted (>=3 complete occasions),Class 4,EC5,"High Maternal Absence, Low SES",5,Mapped to unrestricted anchor,125,"Very high maternal absence with persistent low SES."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 3,ML1,"Low Maternal Absence, Higher SES",1,Mapped to unrestricted anchor,571,"Rare maternal absence with stable high-SES dominance."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 1,ML2,"Low Maternal Absence, Improving SES",2,Mapped to unrestricted anchor,806,"Rare maternal absence with low SES dropping toward a middle/high SES mix."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 6,ML3,"Low Maternal Absence, Low SES",3,Mapped to unrestricted anchor,823,"Rare maternal absence with chronic low SES."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 2,ML4,"Decreasing Maternal Absence, Low SES",4,Stricter-branch addition,184,"Maternal absence drops substantially over the window but low SES remains common."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 4,ML5,"Rising Maternal Absence, Improving SES",5,Mapped to unrestricted anchor,236,"Rising maternal absence alongside improvement from low toward middle SES."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 7,ML6,"High Maternal Absence, Higher SES",6,Mapped to unrestricted anchor,288,"High maternal absence with stable high-SES dominance."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 5,ML7,"High Maternal Absence, Improving SES",7,Mapped to unrestricted anchor,265,"High maternal absence with strong movement from middle toward high SES."
6-12 years,Middle-late childhood (6-12 years),Stricter restricted (>=3 complete occasions),Class 8,ML8,"High Maternal Absence, Low SES",8,Mapped to unrestricted anchor,305,"Very high maternal absence with low SES still dominant despite some movement into middle SES."
