Model_Family,Variable,Period,Classes,LatentClass,Assigned_Class_Label,Archetype_Group,Display_Label,Color_Name,Color_Hex,Rationale,Source_Project,Source_File,Status,Narrative_Label,Legacy_Display_Label,Legacy_Archetype_Group,Legacy_Rationale,Decision_Source
LCGA,EDUCFATH,Early Childhood (0–5 Years),3,1,Stable Medium (Secondary),Stable Medium,Stable Medium (Secondary),gray,#BBBBBB,Probability remains ~100% in Secondary across ages 0–5.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Medium (Secondary),Stable Medium (Secondary),Stable Medium,Probability remains ~100% in Secondary across ages 0–5.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Early Childhood (0–5 Years),3,2,Stable Low (None/Primary),Stable Low,Stable Low (None/Primary),indigo,#332288,Probability remains ~100% in None/Primary across ages 0–5.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Low (None/Primary),Stable Low (None/Primary),Stable Low,Probability remains ~100% in None/Primary across ages 0–5.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Early Childhood (0–5 Years),3,3,Stable High (Completed Matric),Stable High,Stable High (Completed Matric),light_gray,#DDDDBD,Probability remains ~100% in Completed Matric across ages 0–5.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable High (Completed Matric),Stable High (Completed Matric),Stable High,Probability remains ~100% in Completed Matric across ages 0–5.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Entire Childhood (0–12 Years),3,1,Stable High (Completed Matric),Stable High,Stable High (Completed Matric),gray,#BBBBBB,Probability remains ~100% in Completed Matric across 0–12 years.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable High (Completed Matric),Stable High (Completed Matric),Stable High,Probability remains ~100% in Completed Matric across 0–12 years.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Entire Childhood (0–12 Years),3,2,Stable Medium (Secondary),Stable Medium,Stable Medium (Secondary),indigo,#332288,Probability remains ~100% in Secondary across 0–12 years.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Medium (Secondary),Stable Medium (Secondary),Stable Medium,Probability remains ~100% in Secondary across 0–12 years.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Entire Childhood (0–12 Years),3,3,Stable Low (None/Primary),Stable Low,Stable Low (None/Primary),light_gray,#DDDDBD,Probability remains ~100% in None/Primary across 0–12 years.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Low (None/Primary),Stable Low (None/Primary),Stable Low,Probability remains ~100% in None/Primary across 0–12 years.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Middle–Late Childhood (6–12 Years),3,1,Stable High (Completed Matric),Stable High,Stable High (Completed Matric),gray,#BBBBBB,Probability remains ~100% in Completed Matric across ages 6–12.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable High (Completed Matric),Stable High (Completed Matric),Stable High,Probability remains ~100% in Completed Matric across ages 6–12.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Middle–Late Childhood (6–12 Years),3,2,Stable Low (None/Primary),Stable Low,Stable Low (None/Primary),indigo,#332288,Probability remains ~100% in None/Primary across ages 6–12.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Low (None/Primary),Stable Low (None/Primary),Stable Low,Probability remains ~100% in None/Primary across ages 6–12.,canonical_label_plus_obj01_archetype
LCGA,EDUCFATH,Middle–Late Childhood (6–12 Years),3,3,Stable Medium (Secondary),Stable Medium,Stable Medium (Secondary),light_gray,#DDDDBD,Probability remains ~100% in Secondary across ages 6–12.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Medium (Secondary),Stable Medium (Secondary),Stable Medium,Probability remains ~100% in Secondary across ages 6–12.,canonical_label_plus_obj01_archetype
LCGA,EDUCMOTH,Early Childhood (0–5 Years),4,1,Stable Low (None/Primary),Stable Low,Stable Low (None/Primary),gray,#BBBBBB,Probability remains ~100% in the lowest education category across ages 0–5.,public_seed_registry,data/metadata/class_registry.csv,curated_overlap_first_pass,Stable Low (None/Primary),Stable Low (None/Primary),Stable Low,Probability remains ~100% in the lowest education category across ages 0–5.,canonical_label_plus_obj01_archetype
